source,brand,month,season_code,account,gender,category,sub_category,sub2,item_keyword,item_display,silhouette,wash,material_hints,dominant_colors,pattern,trend_strength,details,visibility_score,confidence,images,dedup_hash,schema_version,v2_category,base_garment,attributes,trend_tags,legacy_sub2,visibility_axes,raw_visual_terms,needs_review,review_reasons,garment_id
instagram,HYPE STREET,Sep-25,2526FW,Instagram_mlb_2526fw,Men,Bag,Crossbody Bag,Crescent Bag,Bag,Bag,,,"[""Leather""]","[""Black""]",,5,"{""bag_type"": ""Crescent"", ""bag_size"": ""Medium"", ""bag_structure"": ""Soft-Slouchy"", ""bag_orientation"": ""East-West"", ""bag_geometry"": ""Crescent"", ""bag_closure"": ""Zipper"", ""strap_style"": ""Leather"", ""material"": ""Leather"", ""bag_surface"": ""Plain"", ""carry_method"": [""Shoulder""]}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250911_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250911_0.jpg"", ""account"": ""Instagram_mlb_2526fw"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250911_0.jpg""}]",b316e982961bb996_4,2.0.0,Bag,Bag,"{""bag_type"": ""Crescent"", ""bag_geometry"": ""Crescent""}",[],Crescent Bag,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""black crescent bag"", ""shoulder bag""]",,[],g5
instagram,HYPE STREET,Sep-25,2526FW,Instagram_mlb_2526fw,Men,ACC,,Other Accessory,Other Accessory,Other Accessory,,,[],"[""Metallic""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250911_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250911_0.jpg"", ""account"": ""Instagram_mlb_2526fw"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250911_0.jpg""}]",b316e982961bb996_5,2.0.0,Accessory,Other Accessory,{},[],Other Accessory,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""silver rings""]",,[],g6
instagram,HYPE STREET,Sep-25,2526FW,Instagram_mlb_2526fw,Men,ACC,,Other Accessory,Other Accessory,Other Accessory,,,[],"[""White""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_0.jpg"", ""account"": ""Instagram_mlb_2526fw"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_0.jpg""}]",dcd834316c271fd8_1,2.0.0,Accessory,Other Accessory,{},[],Other Accessory,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""headphones"", ""AirPods Max""]",,[],g2
instagram,HYPE STREET,Sep-25,2526FW,Instagram_mlb_2526fw,Men,ACC,,Other Accessory,Other Accessory,Other Accessory,,,[],"[""Metallic""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_0.jpg"", ""account"": ""Instagram_mlb_2526fw"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_0.jpg""}]",dcd834316c271fd8_6,2.0.0,Accessory,Other Accessory,{},[],Other Accessory,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""rings""]",,[],g7
instagram,HYPE STREET,Sep-25,2526FW,Instagram_mlb_2526fw,Men,Shoes,Sneakers,Lifestyle Sneakers,Lifestyle Sneakers,Lifestyle Sneakers,,,[],"[""White""]",,5,"{""toe_style"": ""Round""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_12.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_12.jpg"", ""account"": ""Instagram_mlb_2526fw"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_12.jpg""}]",9a908169e0fbfa78_5,2.0.0,Shoes,Lifestyle Sneakers,{},[],Lifestyle Sneakers,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""white sneakers"", ""thick sole"", ""textured sole""]",,[],g6
instagram,HYPE STREET,Sep-25,2526FW,Instagram_mlb_2526fw,Men,ACC,,Brooch,Brooch,Brooch,,,[],"[""White""]",,5,{},10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_13.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_13.jpg"", ""account"": ""Instagram_mlb_2526fw"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_13.jpg""}]",b9f00b9cb2c16e35_6,2.0.0,Accessory,Brooch,{},[],Brooch,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""circular pins"", ""buttons with numbers""]",,[],g7
instagram,HYPE STREET,Sep-25,2526FW,Instagram_mlb_2526fw,Men,Bag,Shoulder Bag,Bowling Bag,Bag,Bag,,,[],"[""Multi""]",,5,"{""bag_type"": ""Bowling"", ""bag_size"": ""Small"", ""bag_structure"": ""Semi-structured"", ""bag_orientation"": ""East-West"", ""bag_geometry"": ""Rectangular"", ""bag_closure"": ""Zipper"", ""strap_style"": ""Leather"", ""carry_method"": [""Shoulder""]}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_7.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_7.jpg"", ""account"": ""Instagram_mlb_2526fw"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_7.jpg""}]",e74d925a9861593e_6,2.0.0,Bag,Bag,"{""bag_type"": ""Bowling"", ""bag_geometry"": ""Dome""}",[],Bowling Bag,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""brown bag"", ""beige accents"", ""shoulder bag"", ""bowling bag shape""]",,[],g7
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Hat,,Baseball Cap,Baseball Cap,Baseball Cap,,,[],"[""Multi""]",Camo,5,"{""pattern"": ""Camo"", ""surface_finish"": ""Distressed""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250911_3.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250911_3.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250911_3.jpg""}]",b31a723a6d64e0f8_0,2.0.0,Headwear,Baseball Cap,"{""pattern"": ""Camo"", ""color_family"": ""Multi"", ""surface_finish"": ""Distressed"", ""print_type"": ""Lettering""}",[],Baseball Cap,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""camouflage cap"", ""distressed brim"", ""faded camo"", ""white lettering""]",,[],g1
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Shoes,,Sandals,Sandals,Sandals,,,[],"[""Beige""]",,5,"{""toe_style"": ""Open""}",8,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250911_3.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250911_3.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250911_3.jpg""}]",b31a723a6d64e0f8_3,2.0.0,Shoes,Sandals,"{""color_family"": ""Beige"", ""toe_style"": ""Open""}",[],Sandals,"{""overall"": 0.8, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""beige slides"", ""open toe sandals"", ""slip-on shoes""]",,[],g4
instagram,HYPE STREET,2025-09,2526FW,39.cho,Men,Hat,,Beanie,Beanie,Beanie,,,"[""Knit""]","[""Brown""]",Animal,5,"{""pattern"": ""Animal"", ""material"": ""Knit""}",10,100,"[{""thumbUrl"": ""https://raw.githubusercontent.com/consumerfnf-eng/sns_trend_intelligence/main/thumbs/39.cho_20250918_0.jpg"", ""fullUrl"": """", ""filename"": ""39.cho_20250918_0.jpg"", ""account"": ""39.cho"", ""localPath"": ""Instagram_mlb_2526fw\\39.cho_20250918_0.jpg""}]",dcd834316c271fd8_0,2.0.0,Headwear,Beanie,"{""pattern"": ""Animal"", ""color_family"": ""Brown"", ""material"": ""Knit"", ""fabric_structure"": ""Knit""}","[""leopard print""]",Beanie,"{""overall"": 1.0, ""shoulder_area"": ""Not Observable"", ""neckline"": ""Not Observable"", ""waistline"": ""Not Observable"", ""full_leg"": ""Not Observable"", ""hem"": ""Not Observable""}","[""leopard print beanie"", ""knit hat""]",,[],g1
